stage,dataset_size,seed,normal_scenario,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
supervised_sequence_v6,50,42,normal_staggered,0.5987996043804066,3708,272,3504,272,0.0008561643835616438,1.0,1.0,237,1,119,35,0.9957983193277311,0.8713235294117647,0.9294117647058823,0.9957107843137255,0.9980569783807365,0.008333333333333333,0.025,0.0,1.0,1.0,0.9705882352941176,1.0,1.0,120,272,68
hardened_v3_event,50,42,normal_nat_burst,0.6204350989023963,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,0,120,272,0.0,0.0,0.0,0.9171568627450981,0.9609269385950158,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,42,normal_nat_burst,0.6204350989023963,3708,272,3504,272,0.0008561643835616438,1.0,1.0,242,0,120,30,1.0,0.8897058823529411,0.9416342412451362,0.9989430147058823,0.9995246398781064,0.0,0.008333333333333333,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,120,272,68
hardened_v3_event,50,43,normal_staggered,0.5702498300468106,3708,272,3504,272,0.0008561643835616438,1.0,0.9852941176470589,0,0,120,272,0.0,0.0,0.0,0.8002757352941177,0.8830010752367167,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,43,normal_staggered,0.5702498300468106,3708,272,3504,272,0.0008561643835616438,1.0,0.9852941176470589,245,0,120,27,1.0,0.9007352941176471,0.9477756286266924,0.9973345588235294,0.9987680689775563,0.0,0.008333333333333333,0.0,1.0,0.9852941176470589,0.9411764705882353,1.0,1.0,120,272,68
hardened_v3_event,50,43,normal_nat_burst,0.7234061192948403,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,0,120,272,0.0,0.0,0.0,0.9036917892156864,0.9522825455283513,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,43,normal_nat_burst,0.7234061192948403,3708,272,3504,272,0.0008561643835616438,1.0,1.0,238,0,120,34,1.0,0.875,0.9333333333333333,0.9986979166666666,0.9993923964225613,0.0,0.0,0.0,1.0,1.0,0.9264705882352942,1.0,1.0,120,272,68
hardened_v3_event,50,44,normal_staggered,0.6916092076878171,3708,272,3504,272,0.0008561643835616438,0.9852941176470589,0.9852941176470589,0,0,120,272,0.0,0.0,0.0,0.7117493872549019,0.8380765355964219,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,44,normal_staggered,0.6916092076878171,3708,272,3504,272,0.0008561643835616438,0.9852941176470589,0.9852941176470589,224,0,120,48,1.0,0.8235294117647058,0.9032258064516129,0.9932138480392158,0.9972116415119573,0.0,0.008333333333333333,0.0,0.9852941176470589,0.9852941176470589,0.9264705882352942,1.0,1.0,120,272,68
hardened_v3_event,50,44,normal_nat_burst,0.548982791817054,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,0,120,272,0.0,0.0,0.0,0.9319240196078431,0.9670521557089443,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,44,normal_nat_burst,0.548982791817054,3708,272,3504,272,0.0008561643835616438,1.0,1.0,251,0,120,21,1.0,0.9227941176470589,0.9598470363288719,0.998406862745098,0.9993529739515903,0.0,0.0,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,120,272,68
hardened_v3_event,50,45,normal_staggered,0.7068785961001457,3708,272,3504,272,0.0008561643835616438,0.9852941176470589,0.9852941176470589,1,0,120,271,1.0,0.003676470588235294,0.007326007326007326,0.7154564950980392,0.8513109355120315,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,5.0,1.0,120,272,68
supervised_sequence_v6,50,45,normal_staggered,0.7068785961001457,3708,272,3504,272,0.0008561643835616438,0.9852941176470589,0.9852941176470589,220,0,120,52,1.0,0.8088235294117647,0.8943089430894309,0.9964001225490197,0.998416244310684,0.0,0.0,0.0,0.9852941176470589,0.9852941176470589,0.9117647058823529,1.0,1.0,120,272,68
hardened_v3_event,50,45,normal_nat_burst,0.6056973001298146,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,0,120,272,0.0,0.0,0.0,0.9203125,0.9615948706193658,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,45,normal_nat_burst,0.6056973001298146,3708,272,3504,272,0.0008561643835616438,1.0,1.0,244,0,120,28,1.0,0.8970588235294118,0.9457364341085273,0.9987591911764706,0.9994235155670983,0.0,0.0,0.0,1.0,1.0,0.9558823529411765,1.0,1.0,120,272,68
hardened_v3_event,50,46,normal_staggered,0.6586325163669563,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,1,119,272,0.0,0.0,0.0,0.7157015931372548,0.8240092048201786,0.008333333333333333,0.025,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
