stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
hardened_v3,10,42,normal_nat_burst,attack_new_os,known,warn,0.0,1.0,0.1929166666666667
hardened_v3,10,42,normal_nat_burst,attack_off_hours,known,warn,0.0,0.5,0.2658333333333333
hardened_v3,10,42,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.7441666666666666
hardened_v3,10,42,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.7291666666666666
hardened_v3,10,42,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.6341666666666667
hardened_v3,10,42,normal_nat_burst,attack_subsystem_lateral,known,challenge,1.0,1.0,0.98
hardened_v3,10,42,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.6375000000000001
hardened_v3,10,42,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.8083333333333332
hardened_v3,10,42,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9816666666666669
hardened_v3,10,42,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,0.8333333333333334,0.8333333333333334,0.42333333333333334
hardened_v3,10,42,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,0.8333333333333334,0.8333333333333334,0.3133333333333333
hardened_v3,10,42,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.8866666666666668
hardened_v3,10,42,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.16666666666666666,0.16666666666666666,0.23666666666666666
hardened_v3,10,42,normal_nat_burst,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.8150000000000001
hardened_v3,10,42,normal_nat_burst,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.5066666666666666
full_v2,10,43,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.9070833333333335
full_v2,10,43,normal_staggered,attack_new_ua_family,known,challenge,0.9166666666666666,0.9166666666666666,0.6000000000000001
full_v2,10,43,normal_staggered,attack_new_os,known,warn,0.0,0.0,0.4104166666666667
full_v2,10,43,normal_staggered,attack_off_hours,known,warn,0.0,0.0,0.2133333333333333
full_v2,10,43,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.5266666666666667
full_v2,10,43,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.5208333333333334
full_v2,10,43,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.43375
full_v2,10,43,normal_staggered,attack_subsystem_lateral,known,challenge,0.5833333333333334,0.5833333333333334,0.5154166666666666
full_v2,10,43,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.57375
full_v2,10,43,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.6166666666666666
full_v2,10,43,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9958333333333332
full_v2,10,43,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.17666666666666667
full_v2,10,43,normal_staggered,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.16166666666666665
full_v2,10,43,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,0.16666666666666666,0.16666666666666666,0.3408333333333333
full_v2,10,43,normal_staggered,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.11166666666666665
full_v2,10,43,normal_staggered,attack_lateral_known_path,evasive,challenge,0.5,0.5,0.38999999999999996
full_v2,10,43,normal_staggered,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.2075
hardened_v3,10,43,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.6825000000000001
hardened_v3,10,43,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.3783333333333334
hardened_v3,10,43,normal_staggered,attack_new_os,known,warn,0.0,1.0,0.18583333333333338
hardened_v3,10,43,normal_staggered,attack_off_hours,known,warn,0.0,0.5,0.19999999999999998
hardened_v3,10,43,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.6791666666666667
hardened_v3,10,43,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.6750000000000002
hardened_v3,10,43,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.585
