stage,normal_scenario,dataset_size,seed,precision,challenge_recall,f1,challenge_fpr,warn_fpr,block_fpr,policy_success,known_policy_success,evasive_challenge_recall,normal_count,attack_count
full_v2,normal_nat_burst,10,44.0,1.0,0.607051282051282,0.7553389537144243,0.0,0.0,0.0,0.607051282051282,0.7491666666666668,0.13333333333333333,24.0,312.0
full_v2,normal_nat_burst,50,44.0,1.0,0.6051282051282051,0.7538848677686688,0.0,0.0,0.0,0.7589743589743589,0.9458333333333334,0.13611111111111113,120.0,312.0
full_v2,normal_nat_burst,100,44.0,0.9959943686913046,0.6294871794871795,0.7713698576065452,0.003333333333333333,0.003333333333333333,0.0,0.7833333333333333,0.9658333333333333,0.175,240.0,312.0
full_v2,normal_nat_burst,500,44.0,0.989380465546801,0.6551282051282051,0.7882701913499329,0.0018333333333333333,0.0018333333333333333,0.0,0.808974358974359,1.0,0.17222222222222222,1200.0,312.0
full_v2,normal_nat_burst,1000,44.0,0.9742939468108348,0.6532051282051282,0.7820357145340042,0.00225,0.00225,0.0,0.8070512820512821,0.9983333333333334,0.16944444444444445,2400.0,312.0
full_v2,normal_nat_burst,5000,44.0,0.9192407458041287,0.6538461538461539,0.7640856030825872,0.0015,0.0015,0.0,0.8076923076923077,0.9966666666666667,0.17777777777777776,12000.0,312.0
full_v2,normal_staggered,10,44.0,1.0,0.6121794871794872,0.7594139778119683,0.0,0.0,0.0,0.6121794871794872,0.7575000000000001,0.12777777777777777,24.0,312.0
full_v2,normal_staggered,50,44.0,0.9989130434782609,0.610897435897436,0.7580773255239395,0.0016666666666666666,0.008333333333333335,0.0,0.7647435897435898,0.95,0.14722222222222223,120.0,312.0
full_v2,normal_staggered,100,44.0,1.0,0.6121794871794872,0.7593063313494638,0.0,0.0008333333333333333,0.0,0.7660256410256411,0.9525,0.14444444444444446,240.0,312.0
full_v2,normal_staggered,500,44.0,0.9893152378514575,0.6512820512820513,0.7854639935660793,0.0018333333333333333,0.0023333333333333335,0.0,0.8051282051282052,0.9983333333333334,0.16111111111111112,1200.0,312.0
full_v2,normal_staggered,1000,44.0,0.9848978148484987,0.6564102564102564,0.7876757620049323,0.0013333333333333335,0.0015,0.0,0.8102564102564103,0.9941666666666666,0.19722222222222222,2400.0,312.0
full_v2,normal_staggered,5000,44.0,0.9202198101338258,0.6506410256410257,0.7622257692462137,0.001466666666666667,0.0016,0.0,0.8044871794871795,0.9941666666666666,0.17222222222222222,12000.0,312.0
hardened_v3,normal_nat_burst,10,44.0,1.0,0.808974358974359,0.8943947361647495,0.0,0.0,0.0,0.9243589743589744,0.95,0.8388888888888889,24.0,312.0
hardened_v3,normal_nat_burst,50,44.0,1.0,0.8365384615384615,0.9109332260659695,0.0,0.0016666666666666666,0.0,0.9903846153846153,1.0,0.9583333333333333,120.0,312.0
hardened_v3,normal_nat_burst,100,44.0,0.9969722928511409,0.8429487179487178,0.9135001076435414,0.003333333333333333,0.0075,0.0016666666666666666,0.9967948717948717,1.0,0.986111111111111,240.0,312.0
hardened_v3,normal_nat_burst,500,44.0,0.991748993004028,0.8461538461538461,0.9131814549079122,0.0018333333333333333,0.0018333333333333333,0.0001666666666666667,1.0,1.0,1.0,1200.0,312.0
hardened_v3,normal_nat_burst,1000,44.0,0.979996492531833,0.8461538461538461,0.908160900952724,0.00225,0.00225,0.0003333333333333334,1.0,1.0,1.0,2400.0,312.0
hardened_v3,normal_nat_burst,5000,44.0,0.9362676806981985,0.8442307692307691,0.8878074367416495,0.0015,0.0015,0.00031666666666666665,0.998076923076923,1.0,0.9916666666666666,12000.0,312.0
hardened_v3,normal_staggered,10,44.0,1.0,0.8128205128205128,0.8967115081941458,0.0,0.024999999999999998,0.0,0.9282051282051281,0.95,0.8555555555555555,24.0,312.0
hardened_v3,normal_staggered,50,44.0,0.9992307692307693,0.841025641025641,0.9133204667372217,0.0016666666666666666,0.011666666666666667,0.0,0.9948717948717949,1.0,0.9777777777777779,120.0,312.0
hardened_v3,normal_staggered,100,44.0,1.0,0.8429487179487178,0.9147773500921247,0.0,0.0008333333333333333,0.0,0.9967948717948719,1.0,0.986111111111111,240.0,312.0
hardened_v3,normal_staggered,500,44.0,0.9917489301965136,0.8461538461538461,0.9131814492506676,0.0018333333333333333,0.0023333333333333335,0.0001666666666666667,1.0,1.0,1.0,1200.0,312.0
hardened_v3,normal_staggered,1000,44.0,0.988141698560236,0.8461538461538461,0.9116254048033327,0.0013333333333333335,0.001583333333333333,0.0005833333333333334,1.0,1.0,1.0,2400.0,312.0
hardened_v3,normal_staggered,5000,44.0,0.9368696413733252,0.8461538461538461,0.8891957521432701,0.0014833333333333335,0.0016833333333333331,0.00045000000000000004,1.0,1.0,1.0,12000.0,312.0
