stage,dataset_size,seed,normal_scenario,precision,challenge_recall,f1,challenge_fpr,warn_fpr,block_fpr,policy_success,known_policy_success,evasive_challenge_recall,normal_count,attack_count
full_v2,10,42,normal_staggered,1.0,0.625,0.7692307692307693,0.0,0.0,0.0,0.625,0.7666666666666667,0.1527777777777778,24,312
hardened_v3,10,42,normal_staggered,1.0,0.8012820512820513,0.8896797153024911,0.0,0.041666666666666664,0.0,0.9166666666666666,0.95,0.8055555555555556,24,312
full_v2,10,42,normal_nat_burst,1.0,0.6410256410256411,0.7812500000000001,0.0,0.0,0.0,0.6410256410256411,0.7791666666666667,0.18055555555555555,24,312
hardened_v3,10,42,normal_nat_burst,1.0,0.8012820512820513,0.8896797153024911,0.0,0.0,0.0,0.9166666666666666,0.95,0.8055555555555556,24,312
full_v2,10,43,normal_staggered,1.0,0.6025641025641025,0.7519999999999999,0.0,0.0,0.0,0.6025641025641025,0.75,0.1111111111111111,24,312
hardened_v3,10,43,normal_staggered,1.0,0.8012820512820513,0.8896797153024911,0.0,0.0,0.0,0.9166666666666666,0.95,0.8055555555555556,24,312
full_v2,10,43,normal_nat_burst,1.0,0.592948717948718,0.744466800804829,0.0,0.0,0.0,0.592948717948718,0.7333333333333333,0.125,24,312
hardened_v3,10,43,normal_nat_burst,1.0,0.8108974358974359,0.8955752212389381,0.0,0.0,0.0,0.9262820512820513,0.95,0.8472222222222222,24,312
full_v2,10,44,normal_staggered,1.0,0.6057692307692307,0.7544910179640718,0.0,0.0,0.0,0.6057692307692307,0.7541666666666667,0.1111111111111111,24,312
hardened_v3,10,44,normal_staggered,1.0,0.8269230769230769,0.9052631578947368,0.0,0.08333333333333333,0.0,0.9423076923076923,0.95,0.9166666666666666,24,312
full_v2,10,44,normal_nat_burst,1.0,0.6057692307692307,0.7544910179640718,0.0,0.0,0.0,0.6057692307692307,0.7541666666666667,0.1111111111111111,24,312
hardened_v3,10,44,normal_nat_burst,1.0,0.8076923076923077,0.8936170212765957,0.0,0.0,0.0,0.9230769230769231,0.95,0.8333333333333334,24,312
full_v2,10,45,normal_staggered,1.0,0.6121794871794872,0.7594433399602386,0.0,0.0,0.0,0.6121794871794872,0.7583333333333333,0.125,24,312
hardened_v3,10,45,normal_staggered,1.0,0.8205128205128205,0.9014084507042254,0.0,0.0,0.0,0.9358974358974359,0.95,0.8888888888888888,24,312
full_v2,10,45,normal_nat_burst,1.0,0.5993589743589743,0.749498997995992,0.0,0.0,0.0,0.5993589743589743,0.7416666666666667,0.125,24,312
hardened_v3,10,45,normal_nat_burst,1.0,0.8108974358974359,0.8955752212389381,0.0,0.0,0.0,0.9262820512820513,0.95,0.8472222222222222,24,312
full_v2,10,46,normal_staggered,1.0,0.6153846153846154,0.761904761904762,0.0,0.0,0.0,0.6153846153846154,0.7583333333333333,0.1388888888888889,24,312
hardened_v3,10,46,normal_staggered,1.0,0.8141025641025641,0.8975265017667845,0.0,0.0,0.0,0.9294871794871795,0.95,0.8611111111111112,24,312
full_v2,10,46,normal_nat_burst,1.0,0.5961538461538461,0.7469879518072289,0.0,0.0,0.0,0.5961538461538461,0.7375,0.125,24,312
hardened_v3,10,46,normal_nat_burst,1.0,0.8141025641025641,0.8975265017667845,0.0,0.0,0.0,0.9294871794871795,0.95,0.8611111111111112,24,312
full_v2,50,42,normal_staggered,0.9945652173913043,0.5865384615384616,0.7379032258064516,0.008333333333333333,0.025,0.0,0.7403846153846154,0.925,0.125,120,312
hardened_v3,50,42,normal_staggered,1.0,0.842948717948718,0.9147826086956521,0.0,0.016666666666666666,0.0,0.9967948717948718,1.0,0.9861111111111112,120,312
full_v2,50,42,normal_nat_burst,1.0,0.6346153846153846,0.7764705882352941,0.0,0.0,0.0,0.7884615384615384,0.975,0.16666666666666666,120,312
hardened_v3,50,42,normal_nat_burst,1.0,0.8461538461538461,0.9166666666666666,0.0,0.008333333333333333,0.0,1.0,1.0,1.0,120,312
full_v2,50,43,normal_staggered,1.0,0.6185897435897436,0.7643564356435644,0.0,0.008333333333333333,0.0,0.7724358974358975,0.9583333333333334,0.1527777777777778,120,312
hardened_v3,50,43,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.008333333333333333,0.0,1.0,1.0,1.0,120,312
full_v2,50,43,normal_nat_burst,1.0,0.5961538461538461,0.7469879518072289,0.0,0.0,0.0,0.75,0.9333333333333333,0.1388888888888889,120,312
hardened_v3,50,43,normal_nat_burst,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,0.9871794871794872,1.0,0.9444444444444444,120,312
full_v2,50,44,normal_staggered,1.0,0.6185897435897436,0.7643564356435644,0.0,0.008333333333333333,0.0,0.7724358974358975,0.9625,0.1388888888888889,120,312
hardened_v3,50,44,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.008333333333333333,0.0,1.0,1.0,1.0,120,312
full_v2,50,44,normal_nat_burst,1.0,0.6025641025641025,0.7519999999999999,0.0,0.0,0.0,0.7564102564102564,0.9416666666666667,0.1388888888888889,120,312
hardened_v3,50,44,normal_nat_burst,1.0,0.8108974358974359,0.8955752212389381,0.0,0.0,0.0,0.9647435897435898,1.0,0.8472222222222222,120,312
full_v2,50,45,normal_staggered,1.0,0.6217948717948718,0.766798418972332,0.0,0.0,0.0,0.7756410256410257,0.9625,0.1527777777777778,120,312
hardened_v3,50,45,normal_staggered,1.0,0.8397435897435898,0.9128919860627177,0.0,0.0,0.0,0.9935897435897436,1.0,0.9722222222222222,120,312
full_v2,50,45,normal_nat_burst,1.0,0.592948717948718,0.744466800804829,0.0,0.0,0.0,0.7467948717948718,0.9375,0.1111111111111111,120,312
hardened_v3,50,45,normal_nat_burst,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,120,312
full_v2,50,46,normal_staggered,1.0,0.6089743589743589,0.7569721115537847,0.0,0.0,0.0,0.7628205128205128,0.9416666666666667,0.16666666666666666,120,312
hardened_v3,50,46,normal_staggered,0.9961538461538462,0.8301282051282052,0.9055944055944055,0.008333333333333333,0.025,0.0,0.9839743589743589,1.0,0.9305555555555556,120,312
full_v2,50,46,normal_nat_burst,1.0,0.5993589743589743,0.749498997995992,0.0,0.0,0.0,0.7532051282051282,0.9416666666666667,0.125,120,312
hardened_v3,50,46,normal_nat_burst,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,120,312
full_v2,100,42,normal_staggered,1.0,0.6217948717948718,0.766798418972332,0.0,0.0,0.0,0.7756410256410257,0.9625,0.1527777777777778,240,312
hardened_v3,100,42,normal_staggered,1.0,0.8365384615384616,0.9109947643979057,0.0,0.0,0.0,0.9903846153846154,1.0,0.9583333333333334,240,312
full_v2,100,42,normal_nat_burst,0.9900990099009901,0.6410256410256411,0.7782101167315176,0.008333333333333333,0.008333333333333333,0.0,0.7948717948717948,0.975,0.19444444444444445,240,312
hardened_v3,100,42,normal_nat_burst,0.9924812030075187,0.8461538461538461,0.9134948096885814,0.008333333333333333,0.008333333333333333,0.004166666666666667,1.0,1.0,1.0,240,312
full_v2,100,43,normal_staggered,1.0,0.6282051282051282,0.7716535433070866,0.0,0.0,0.0,0.782051282051282,0.9708333333333333,0.1527777777777778,240,312
hardened_v3,100,43,normal_staggered,1.0,0.8397435897435898,0.9128919860627177,0.0,0.0,0.0,0.9935897435897436,1.0,0.9722222222222222,240,312
full_v2,100,43,normal_nat_burst,1.0,0.6153846153846154,0.761904761904762,0.0,0.0,0.0,0.7692307692307693,0.9541666666666667,0.1527777777777778,240,312
hardened_v3,100,43,normal_nat_burst,1.0,0.8461538461538461,0.9166666666666666,0.0,0.020833333333333332,0.0,1.0,1.0,1.0,240,312
full_v2,100,44,normal_staggered,1.0,0.5801282051282052,0.7342799188640974,0.0,0.0,0.0,0.7339743589743589,0.9166666666666666,0.125,240,312
hardened_v3,100,44,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,240,312
full_v2,100,44,normal_nat_burst,1.0,0.6314102564102564,0.7740667976424361,0.0,0.0,0.0,0.7852564102564102,0.975,0.1527777777777778,240,312
hardened_v3,100,44,normal_nat_burst,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,240,312
full_v2,100,45,normal_staggered,1.0,0.6121794871794872,0.7594433399602386,0.0,0.0,0.0,0.7660256410256411,0.9541666666666667,0.1388888888888889,240,312
hardened_v3,100,45,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,240,312
full_v2,100,45,normal_nat_burst,0.9948979591836735,0.625,0.767716535433071,0.004166666666666667,0.004166666666666667,0.0,0.7788461538461539,0.9583333333333334,0.18055555555555555,240,312
hardened_v3,100,45,normal_nat_burst,0.9961538461538462,0.8301282051282052,0.9055944055944055,0.004166666666666667,0.004166666666666667,0.0,0.9839743589743589,1.0,0.9305555555555556,240,312
full_v2,100,46,normal_staggered,1.0,0.6185897435897436,0.7643564356435644,0.0,0.004166666666666667,0.0,0.7724358974358975,0.9583333333333334,0.1527777777777778,240,312
hardened_v3,100,46,normal_staggered,1.0,0.8461538461538461,0.9166666666666666,0.0,0.004166666666666667,0.0,1.0,1.0,1.0,240,312
full_v2,100,46,normal_nat_burst,0.9949748743718593,0.6346153846153846,0.7749510763209393,0.004166666666666667,0.004166666666666667,0.0,0.7884615384615384,0.9666666666666667,0.19444444444444445,240,312
hardened_v3,100,46,normal_nat_burst,0.9962264150943396,0.8461538461538461,0.9150779896013865,0.004166666666666667,0.004166666666666667,0.004166666666666667,1.0,1.0,1.0,240,312
full_v2,500,42,normal_staggered,0.9903381642512077,0.657051282051282,0.7899807321772641,0.0016666666666666668,0.0016666666666666668,0.0,0.8108974358974359,1.0,0.18055555555555555,1200,312
hardened_v3,500,42,normal_staggered,0.9924812030075187,0.8461538461538461,0.9134948096885814,0.0016666666666666668,0.0016666666666666668,0.0,1.0,1.0,1.0,1200,312
full_v2,500,42,normal_nat_burst,0.9857142857142858,0.6634615384615384,0.7931034482758621,0.0025,0.0025,0.0,0.8173076923076923,1.0,0.20833333333333334,1200,312
hardened_v3,500,42,normal_nat_burst,0.9887640449438202,0.8461538461538461,0.9119170984455959,0.0025,0.0025,0.0,1.0,1.0,1.0,1200,312
full_v2,500,43,normal_staggered,0.9806763285024155,0.6506410256410257,0.7822736030828517,0.0033333333333333335,0.0033333333333333335,0.0,0.8044871794871795,1.0,0.1527777777777778,1200,312
hardened_v3,500,43,normal_staggered,0.9850746268656716,0.8461538461538461,0.9103448275862068,0.0033333333333333335,0.0033333333333333335,0.0008333333333333334,1.0,1.0,1.0,1200,312
full_v2,500,43,normal_nat_burst,0.9854368932038835,0.6506410256410257,0.7837837837837837,0.0025,0.0025,0.0,0.8044871794871795,1.0,0.1527777777777778,1200,312
hardened_v3,500,43,normal_nat_burst,0.9887640449438202,0.8461538461538461,0.9119170984455959,0.0025,0.0025,0.0008333333333333334,1.0,1.0,1.0,1200,312
full_v2,500,44,normal_staggered,0.9902439024390244,0.6506410256410257,0.7852998065764024,0.0016666666666666668,0.0016666666666666668,0.0,0.8044871794871795,1.0,0.1527777777777778,1200,312
hardened_v3,500,44,normal_staggered,0.9924812030075187,0.8461538461538461,0.9134948096885814,0.0016666666666666668,0.0016666666666666668,0.0,1.0,1.0,1.0,1200,312
full_v2,500,44,normal_nat_burst,0.9951219512195122,0.6538461538461539,0.7891682785299806,0.0008333333333333334,0.0008333333333333334,0.0,0.8076923076923077,1.0,0.16666666666666666,1200,312
hardened_v3,500,44,normal_nat_burst,0.9962264150943396,0.8461538461538461,0.9150779896013865,0.0008333333333333334,0.0008333333333333334,0.0,1.0,1.0,1.0,1200,312
full_v2,500,45,normal_staggered,0.9950738916256158,0.6474358974358975,0.7844660194174758,0.0008333333333333334,0.0008333333333333334,0.0,0.8012820512820513,1.0,0.1388888888888889,1200,312
hardened_v3,500,45,normal_staggered,0.9962264150943396,0.8461538461538461,0.9150779896013865,0.0008333333333333334,0.0008333333333333334,0.0,1.0,1.0,1.0,1200,312
full_v2,500,45,normal_nat_burst,0.9855072463768116,0.6538461538461539,0.7861271676300579,0.0025,0.0025,0.0,0.8076923076923077,1.0,0.16666666666666666,1200,312
