stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
sequence_model_v5,50,42,normal_nat_burst,324,120,0.5562736786760327,0.6534419089273499,26,1,119,246,0.9629629629629629,0.09558823529411764,0.17391304347826086,0.8897977941176471,0.9461586570750042,0.008333333333333333,0.016666666666666666,0.0,0.29411764705882354,0.10294117647058823,0.27941176470588236,5.0,1.0,120,272,68
hardened_v3_event,50,43,normal_staggered,324,120,0.48945639873359587,0.5304557818502666,0,0,120,272,0.0,0.0,0.0,0.8002757352941177,0.8830010752367167,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,43,normal_staggered,324,120,0.48945639873359587,0.5304557818502666,57,3,117,215,0.95,0.20955882352941177,0.3433734939759036,0.7714154411764705,0.8841149465501257,0.025,0.06666666666666667,0.0,0.5441176470588235,0.35294117647058826,0.4264705882352941,4.0,1.0,120,272,68
hardened_v3_event,50,43,normal_nat_burst,324,120,0.5933587564187143,0.6480112674514216,0,0,120,272,0.0,0.0,0.0,0.9036917892156864,0.9522825455283513,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,43,normal_nat_burst,324,120,0.5933587564187143,0.6480112674514216,27,1,119,245,0.9642857142857143,0.09926470588235294,0.18,0.8878216911764706,0.943106873781653,0.008333333333333333,0.008333333333333333,0.0,0.3088235294117647,0.11764705882352941,0.27941176470588236,5.0,1.0,120,272,68
hardened_v3_event,50,44,normal_staggered,324,120,0.5401564827143793,0.5866542128096818,0,0,120,272,0.0,0.0,0.0,0.7117493872549019,0.8380765355964219,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,44,normal_staggered,324,120,0.5401564827143793,0.5866542128096818,48,4,116,224,0.9230769230769231,0.17647058823529413,0.29629629629629634,0.7072610294117647,0.8530541086127681,0.03333333333333333,0.075,0.0,0.38235294117647056,0.3235294117647059,0.36764705882352944,5.0,1.0,120,272,68
hardened_v3_event,50,44,normal_nat_burst,324,120,0.6120167971432263,0.6468950294972545,0,0,120,272,0.0,0.0,0.0,0.9319240196078431,0.9670521557089443,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,44,normal_nat_burst,324,120,0.6120167971432263,0.6468950294972545,25,1,119,247,0.9615384615384616,0.09191176470588236,0.16778523489932887,0.8901960784313726,0.9452991767152383,0.008333333333333333,0.008333333333333333,0.0,0.3235294117647059,0.10294117647058823,0.2647058823529412,5.0,1.0,120,272,68
hardened_v3_event,50,45,normal_staggered,324,120,0.535353385980248,0.6480420274285509,1,0,120,271,1.0,0.003676470588235294,0.007326007326007326,0.7154564950980392,0.8513109355120315,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,5.0,1.0,120,272,68
sequence_model_v5,50,45,normal_staggered,324,120,0.535353385980248,0.6480420274285509,15,0,120,257,1.0,0.05514705882352941,0.10452961672473866,0.8013633578431373,0.894354168253588,0.0,0.041666666666666664,0.0,0.17647058823529413,0.04411764705882353,0.17647058823529413,5.0,1.0,120,272,68
hardened_v3_event,50,45,normal_nat_burst,324,120,0.5490048924913188,0.5908693300092684,0,0,120,272,0.0,0.0,0.0,0.9203125,0.9615948706193658,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,45,normal_nat_burst,324,120,0.5490048924913188,0.5908693300092684,106,2,118,166,0.9814814814814815,0.3897058823529412,0.5578947368421052,0.8826593137254902,0.948836316312575,0.016666666666666666,0.03333333333333333,0.0,0.8088235294117647,0.5441176470588235,0.8088235294117647,3.0,1.0,120,272,68
hardened_v3_event,50,46,normal_staggered,324,120,0.5486037058211507,0.6067943947472909,0,1,119,272,0.0,0.0,0.0,0.7157015931372548,0.8240092048201786,0.008333333333333333,0.025,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,46,normal_staggered,324,120,0.5486037058211507,0.6067943947472909,28,2,118,244,0.9333333333333333,0.10294117647058823,0.18543046357615892,0.7743412990196079,0.8797142103791471,0.016666666666666666,0.075,0.0,0.23529411764705882,0.23529411764705882,0.17647058823529413,5.0,1.0,120,272,68
