stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
sequence_model_v5,10,43,normal_staggered,distributed_lateral_drift,2,0,0,30,1.0,0.0625,0.11764705882352941,0.0,0.0,0.25,0.0,0.25,5.0,0.0,32,8
sequence_model_v5,10,43,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,10,43,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,43,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,10,43,normal_nat_burst,stealth_mimicry_ato,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,10,43,normal_nat_burst,slow_credential_probe,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,5.0,0.0,48,12
sequence_model_v5,10,43,normal_nat_burst,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
sequence_model_v5,10,43,normal_nat_burst,gradual_exfiltration,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,5.0,0.0,48,12
sequence_model_v5,10,43,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,10,43,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,10,44,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,session_replay_chain,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.25,0.0,0.25,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,44,normal_staggered,profile_poisoning_chain,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,1.0,48,12
sequence_model_v5,10,44,normal_staggered,stealth_mimicry_ato,15,0,0,33,1.0,0.3125,0.47619047619047616,0.0,0.0,1.0,0.25,1.0,4.0,0.0,48,12
sequence_model_v5,10,44,normal_staggered,slow_credential_probe,30,0,0,18,1.0,0.625,0.7692307692307693,0.0,0.0,1.0,1.0,1.0,3.0,0.0,48,12
sequence_model_v5,10,44,normal_staggered,session_replay_chain,33,0,0,15,1.0,0.6875,0.8148148148148148,0.0,0.0,1.0,1.0,1.0,2.0,0.0,48,12
sequence_model_v5,10,44,normal_staggered,gradual_exfiltration,14,0,0,34,1.0,0.2916666666666667,0.45161290322580644,0.0,0.0,0.8333333333333334,0.4166666666666667,0.6666666666666666,4.0,0.0,48,12
sequence_model_v5,10,44,normal_staggered,distributed_lateral_drift,9,0,0,23,1.0,0.28125,0.43902439024390244,0.0,0.0,0.75,0.375,0.625,4.0,0.0,32,8
sequence_model_v5,10,44,normal_staggered,profile_poisoning_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,1.0,48,12
hardened_v3_event,10,44,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,44,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,10,44,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,10,44,normal_nat_burst,slow_credential_probe,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.25,0.25,0.0,5.0,0.0,48,12
sequence_model_v5,10,44,normal_nat_burst,session_replay_chain,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,5.0,0.0,48,12
sequence_model_v5,10,44,normal_nat_burst,gradual_exfiltration,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,5.0,0.0,48,12
sequence_model_v5,10,44,normal_nat_burst,distributed_lateral_drift,1,0,0,31,1.0,0.03125,0.06060606060606061,0.0,0.0,0.125,0.125,0.0,5.0,0.0,32,8
sequence_model_v5,10,44,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,10,45,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,45,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
hardened_v3_event,10,45,normal_staggered,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,45,normal_staggered,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,45,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,45,normal_staggered,profile_poisoning_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,5.0,1.0,48,12
sequence_model_v5,10,45,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,10,45,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,10,45,normal_staggered,session_replay_chain,14,0,0,34,1.0,0.2916666666666667,0.45161290322580644,0.0,0.0,1.0,0.16666666666666666,1.0,4.0,0.0,48,12
sequence_model_v5,10,45,normal_staggered,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
sequence_model_v5,10,45,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,10,45,normal_staggered,profile_poisoning_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,5.0,1.0,48,12
hardened_v3_event,10,45,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,session_replay_chain,4,0,0,44,1.0,0.08333333333333333,0.15384615384615385,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,5.0,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,45,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,10,45,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,10,45,normal_nat_burst,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
sequence_model_v5,10,45,normal_nat_burst,session_replay_chain,17,0,0,31,1.0,0.3541666666666667,0.5230769230769231,0.0,0.0,1.0,0.4166666666666667,1.0,4.0,0.0,48,12
sequence_model_v5,10,45,normal_nat_burst,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,10,45,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,10,45,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,10,46,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,46,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,46,normal_staggered,session_replay_chain,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,46,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,46,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,46,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,10,46,normal_staggered,stealth_mimicry_ato,8,0,0,40,1.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,4.0,0.0,48,12
sequence_model_v5,10,46,normal_staggered,slow_credential_probe,24,0,0,24,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,3.0,0.0,48,12
sequence_model_v5,10,46,normal_staggered,session_replay_chain,24,0,0,24,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,3.0,0.0,48,12
sequence_model_v5,10,46,normal_staggered,gradual_exfiltration,10,0,0,38,1.0,0.20833333333333334,0.3448275862068966,0.0,0.0,0.5,0.3333333333333333,0.5,4.5,0.0,48,12
sequence_model_v5,10,46,normal_staggered,distributed_lateral_drift,5,0,0,27,1.0,0.15625,0.2702702702702703,0.0,0.0,0.5,0.375,0.25,4.5,0.0,32,8
sequence_model_v5,10,46,normal_staggered,profile_poisoning_chain,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,1.0,48,12
hardened_v3_event,10,46,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,46,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,10,46,normal_nat_burst,stealth_mimicry_ato,4,0,0,44,1.0,0.08333333333333333,0.15384615384615385,0.0,0.0,0.3333333333333333,0.08333333333333333,0.25,5.0,0.0,48,12
sequence_model_v5,10,46,normal_nat_burst,slow_credential_probe,24,0,0,24,1.0,0.5,0.6666666666666666,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,3.0,0.0,48,12
sequence_model_v5,10,46,normal_nat_burst,session_replay_chain,22,0,0,26,1.0,0.4583333333333333,0.6285714285714286,0.0,0.0,1.0,0.8333333333333334,1.0,3.0,0.0,48,12
sequence_model_v5,10,46,normal_nat_burst,gradual_exfiltration,18,0,0,30,1.0,0.375,0.5454545454545454,0.0,0.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,3.0,0.0,48,12
sequence_model_v5,10,46,normal_nat_burst,distributed_lateral_drift,11,0,0,21,1.0,0.34375,0.5116279069767442,0.0,0.0,0.875,0.5,0.875,3.5,0.0,32,8
sequence_model_v5,10,46,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,50,42,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,50,42,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,50,42,normal_staggered,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,50,42,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,50,42,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,50,42,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,50,42,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
