stage,normal_scenario,dataset_size,seed,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,normal_nat_burst,10,44.0,0.9947281032132521,0.9413383017016408,83.8,0.05227164150516199,327.8,0.6,4.6,19.4,132.2,0.9980388780469138,0.7126086956521739,0.8290965482315791,0.978894927536232,0.9985812021607625,0.19166666666666665,0.030000000000000006,0.225,0.9869565217391305,0.9043478260869564,0.9521739130434781,1.8,24.0,460.0,92.0
disjoint_hybrid_v8,normal_nat_burst,50,44.0,0.9886054959738887,0.8496262303316925,98.2,0.03808338209320297,356.6,0.8,20.8,99.2,103.4,0.9980384575729456,0.7752173913043479,0.864996287114217,0.9952210144927536,0.9984958711988472,0.17333333333333334,0.008,0.19833333333333333,0.9826086956521738,0.9391304347826086,0.932608695652174,1.4,120.0,460.0,92.0
disjoint_hybrid_v8,normal_nat_burst,100,44.0,0.9729225073174396,0.6316705269061031,81.0,0.023449244075464462,437.4,2.6,42.6,197.4,22.6,0.9942459604342101,0.9508695652173913,0.9716562554504613,0.9973894927536232,0.9982826619668806,0.1775,0.013000000000000001,0.21000000000000002,1.0,1.0,0.9739130434782609,1.0,240.0,460.0,92.0
disjoint_hybrid_v8,normal_nat_burst,500,44.0,0.9946069230993771,0.8934412480859659,101.2,0.042726916728154415,338.8,3.6,203.6,996.4,121.2,0.9890126731449291,0.7365217391304348,0.8390365277188614,0.996754347826087,0.9886366615895177,0.1696666666666667,0.0036000000000000003,0.1875,0.9717391304347827,0.941304347826087,0.9282608695652174,1.6,1200.0,460.0,92.0
disjoint_hybrid_v8,normal_nat_burst,1000,44.0,0.9969404451821369,0.9520297724420264,79.4,0.05308592777577873,270.0,3.4,403.4,1996.6,190.0,0.9877853552535057,0.5869565217391305,0.7344032995689675,0.9969577898550724,0.9773714267966399,0.16808333333333333,0.0017000000000000001,0.18025,0.9304347826086957,0.8108695652173914,0.8565217391304347,2.0,2400.0,460.0,92.0
disjoint_hybrid_v8,normal_nat_burst,5000,44.0,0.9939137980493852,0.8451587722463676,99.6,0.03326443432181509,362.2,26.2,2026.2,9973.8,97.8,0.9329173827598588,0.7873913043478261,0.8534042919408892,0.9980769927536232,0.9376935738648854,0.16885,0.00262,0.18095,0.9913043478260869,0.9543478260869565,0.9565217391304348,1.2,12000.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,10,44.0,0.9947281032132521,0.9413383017016408,83.8,0.05227164150516199,315.2,0.8,4.8,19.2,144.8,0.997518253361994,0.6852173913043478,0.8094920246446942,0.9554347826086957,0.9968438232507101,0.2,0.04,0.3083333333333333,0.976086956521739,0.8804347826086957,0.9326086956521739,1.4,24.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,50,44.0,0.9886054959738887,0.8496262303316925,98.2,0.03808338209320297,353.8,1.4,21.4,98.6,106.2,0.9965329501470969,0.7691304347826087,0.8605199627062664,0.9949673913043477,0.9983486733959536,0.17833333333333332,0.014000000000000002,0.20833333333333334,0.9934782608695653,0.9304347826086957,0.9456521739130433,1.6,120.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,100,44.0,0.9729225073174396,0.6316705269061031,81.0,0.023449244075464462,422.6,3.4,43.4,196.6,37.4,0.9920425328457918,0.918695652173913,0.9525427055471638,0.9954329710144927,0.9969353727664576,0.18083333333333335,0.017,0.20583333333333337,1.0,0.9978260869565216,0.9521739130434783,1.0,240.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,500,44.0,0.9946069230993771,0.8934412480859659,101.2,0.042726916728154415,347.6,3.2,203.2,996.8,112.4,0.9912011320262714,0.7556521739130435,0.8529196888361217,0.9971358695652175,0.9892267458835866,0.16933333333333334,0.0032,0.191,0.9869565217391305,0.9304347826086957,0.9282608695652174,1.5,1200.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,1000,44.0,0.9969404451821369,0.9520297724420264,79.4,0.05308592777577873,271.2,3.2,403.2,1996.8,188.8,0.9882611365474187,0.5895652173913043,0.7371022216130376,0.9970387681159419,0.9790056162202643,0.168,0.0016,0.18741666666666665,0.9543478260869565,0.8304347826086957,0.8847826086956522,2.4,2400.0,460.0,92.0
disjoint_hybrid_v8,normal_staggered,5000,44.0,0.9939137980493852,0.8451587722463676,99.6,0.03326443432181509,364.4,21.2,2021.2,9978.8,95.6,0.9453214084526221,0.7921739130434783,0.8607595821725456,0.9983696014492753,0.9502543869371161,0.16843333333333335,0.00212,0.18925,0.9978260869565216,0.9739130434782609,0.9630434782608696,1.2,12000.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,10,44.0,0.9947281032132521,0.9413383017016408,83.8,0.05227164150516199,297.0,0.6,0.6,23.4,163.0,0.997828339819911,0.6456521739130434,0.7812894756429017,0.978894927536232,0.9985812021607625,0.025,0.025,0.05833333333333333,0.9869565217391305,0.8891304347826086,0.941304347826087,2.2,24.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,50,44.0,0.9886054959738887,0.8496262303316925,98.2,0.03808338209320297,337.2,0.8,0.8,119.2,122.8,0.9979865865586139,0.7330434782608696,0.8321932813506251,0.9952210144927536,0.9984958711988472,0.006666666666666666,0.006666666666666666,0.028333333333333332,0.9717391304347827,0.923913043478261,0.9043478260869564,1.6,120.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,100,44.0,0.9729225073174396,0.6316705269061031,81.0,0.023449244075464462,431.8,2.8,2.8,237.2,28.2,0.9937347464546328,0.9386956521739129,0.9649755184711548,0.9973894927536232,0.9982826619668806,0.011666666666666667,0.011666666666666667,0.045,1.0,1.0,0.9695652173913043,1.0,240.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,500,44.0,0.9946069230993771,0.8934412480859659,101.2,0.042726916728154415,311.0,4.2,4.2,1195.8,149.0,0.9859468878120126,0.6760869565217391,0.795668590959522,0.996754347826087,0.9886366615895177,0.0035000000000000005,0.0035000000000000005,0.0155,0.9652173913043478,0.923913043478261,0.9152173913043479,1.6,1200.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,1000,44.0,0.9969404451821369,0.9520297724420264,79.4,0.05308592777577873,232.8,5.0,5.0,2395.0,227.2,0.9783734227401177,0.5060869565217392,0.6637747219726602,0.9969577898550724,0.9773714267966399,0.0020833333333333337,0.0020833333333333337,0.009583333333333333,0.9086956521739131,0.7739130434782608,0.8239130434782609,2.5,2400.0,460.0,92.0
temporal_mlp_only_v8,normal_nat_burst,5000,44.0,0.9939137980493852,0.8451587722463676,99.6,0.03326443432181509,336.8,30.0,30.0,11970.0,123.2,0.9185552757803774,0.7321739130434782,0.8138590438606167,0.9980769927536232,0.9376935738648854,0.0025,0.0025,0.010916666666666667,0.9869565217391305,0.9456521739130433,0.9369565217391305,1.2,12000.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,10,44.0,0.9947281032132521,0.9413383017016408,83.8,0.05227164150516199,286.2,1.2,1.2,22.8,173.8,0.9960086715879116,0.6221739130434782,0.7619397333591096,0.9554347826086957,0.9968438232507101,0.05,0.05,0.16666666666666666,0.9739130434782609,0.8695652173913043,0.9108695652173913,1.8,24.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,50,44.0,0.9886054959738887,0.8496262303316925,98.2,0.03808338209320297,331.8,1.4,1.4,118.6,128.2,0.9964066196743036,0.721304347826087,0.8243650510058818,0.9949673913043477,0.9983486733959536,0.011666666666666667,0.011666666666666667,0.03,0.9934782608695653,0.9195652173913043,0.9326086956521739,1.9,120.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,100,44.0,0.9729225073174396,0.6316705269061031,81.0,0.023449244075464462,417.4,4.0,4.0,236.0,42.6,0.9906218253690365,0.907391304347826,0.9454141972869291,0.9954329710144927,0.9969353727664576,0.016666666666666666,0.016666666666666666,0.04,1.0,0.9978260869565216,0.9456521739130433,1.0,240.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,500,44.0,0.9946069230993771,0.8934412480859659,101.2,0.042726916728154415,326.2,4.2,4.2,1195.8,133.8,0.987583771067642,0.7091304347826087,0.8184641607891194,0.9971358695652175,0.9892267458835866,0.0035000000000000005,0.0035000000000000005,0.011666666666666667,0.9847826086956522,0.9217391304347826,0.9152173913043479,1.6,1200.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,1000,44.0,0.9969404451821369,0.9520297724420264,79.4,0.05308592777577873,239.6,4.6,4.6,2395.4,220.4,0.9809310816841867,0.5208695652173914,0.6776849652150914,0.9970387681159419,0.9790056162202643,0.0019166666666666666,0.0019166666666666666,0.01,0.9456521739130433,0.7956521739130434,0.8717391304347826,2.4,2400.0,460.0,92.0
temporal_mlp_only_v8,normal_staggered,5000,44.0,0.9939137980493852,0.8451587722463676,99.6,0.03326443432181509,340.4,25.2,25.2,11974.8,119.6,0.9310845727650413,0.74,0.8231064916904864,0.9983696014492753,0.9502543869371161,0.0021000000000000003,0.0021000000000000003,0.010216666666666667,0.9934782608695653,0.9673913043478262,0.9521739130434783,1.4,12000.0,460.0,92.0
