stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,10,42,normal_nat_burst,distributed_password_spray,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,1.0,0.6666666666666666,1.0,2.5,60,12
temporal_mlp_only_v8,10,43,normal_staggered,stealth_mimicry_ato,43,0,0,0,17,1.0,0.7166666666666667,0.8349514563106796,0.0,0.0,1.0,0.9166666666666666,1.0,2.5,60,12
temporal_mlp_only_v8,10,43,normal_staggered,slow_credential_probe,23,0,0,0,37,1.0,0.38333333333333336,0.5542168674698795,0.0,0.0,0.9166666666666666,0.75,0.8333333333333334,3.0,60,12
temporal_mlp_only_v8,10,43,normal_staggered,session_replay_jitter,31,0,0,0,29,1.0,0.5166666666666667,0.6813186813186815,0.0,0.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,2.0,60,12
temporal_mlp_only_v8,10,43,normal_staggered,gradual_exfiltration,38,0,0,0,22,1.0,0.6333333333333333,0.7755102040816326,0.0,0.0,1.0,1.0,0.9166666666666666,2.5,60,12
temporal_mlp_only_v8,10,43,normal_staggered,distributed_lateral_drift,27,0,0,0,13,1.0,0.675,0.8059701492537313,0.0,0.0,0.875,0.875,0.75,2.0,40,8
temporal_mlp_only_v8,10,43,normal_staggered,profile_poisoning_chain,30,0,0,0,30,1.0,0.5,0.6666666666666666,0.0,0.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,3.0,60,12
temporal_mlp_only_v8,10,43,normal_staggered,cookie_hijack_blend,30,0,0,0,30,1.0,0.5,0.6666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,0.75,2.5,60,12
temporal_mlp_only_v8,10,43,normal_staggered,distributed_password_spray,23,0,0,0,37,1.0,0.38333333333333336,0.5542168674698795,0.0,0.0,0.9166666666666666,0.75,0.8333333333333334,3.0,60,12
disjoint_hybrid_v8,10,43,normal_staggered,stealth_mimicry_ato,47,0,0,0,13,1.0,0.7833333333333333,0.8785046728971964,0.0,0.0,1.0,0.9166666666666666,1.0,1.5,60,12
