stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,10,44,normal_nat_burst,0.9922045889809152,0.8689893344048522,77,0.033237428229095124,345,1,1,23,115,0.9971098265895953,0.75,0.8560794044665011,0.9875,0.9992356309129709,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.9891304347826086,0.967391304347826,0.8804347826086957,1.0,24,460,92
disjoint_hybrid_v8,10,44,normal_nat_burst,0.9922045889809152,0.8689893344048522,77,0.033237428229095124,371,1,5,19,89,0.9973118279569892,0.8065217391304348,0.891826923076923,0.9875,0.9992356309129709,0.20833333333333334,0.05,0.25,0.9891304347826086,0.967391304347826,0.9130434782608695,1.0,24,460,92
temporal_mlp_only_v8,10,45,normal_staggered,0.995490407832056,0.9682821858454074,88,0.054099005186361314,331,1,1,23,129,0.9969879518072289,0.7195652173913043,0.8358585858585859,0.9817934782608696,0.9988626269778538,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.9782608695652174,0.9130434782608695,0.9782608695652174,1.0,24,460,92
disjoint_hybrid_v8,10,45,normal_staggered,0.995490407832056,0.9682821858454074,88,0.054099005186361314,357,0,4,20,103,1.0,0.7760869565217391,0.8739290085679314,0.9817934782608696,0.9988626269778538,0.16666666666666666,0.0,0.20833333333333334,0.9891304347826086,0.9239130434782609,0.9891304347826086,1.0,24,460,92
temporal_mlp_only_v8,10,45,normal_nat_burst,0.995490407832056,0.9682821858454074,88,0.054099005186361314,328,0,0,24,132,1.0,0.7130434782608696,0.8324873096446701,0.9998188405797102,0.9999905584555643,0.0,0.0,0.0,1.0,0.9347826086956522,0.9891304347826086,2.0,24,460,92
disjoint_hybrid_v8,10,45,normal_nat_burst,0.995490407832056,0.9682821858454074,88,0.054099005186361314,362,0,4,20,98,1.0,0.7869565217391304,0.8807785888077858,0.9998188405797102,0.9999905584555643,0.16666666666666666,0.0,0.16666666666666666,1.0,0.9782608695652174,0.9891304347826086,1.0,24,460,92
temporal_mlp_only_v8,10,46,normal_staggered,0.9914159829399398,0.9653431338845859,77,0.05874809198548413,282,4,4,20,178,0.986013986013986,0.6130434782608696,0.7560321715817695,0.8878623188405798,0.9909889824174185,0.16666666666666666,0.16666666666666666,0.20833333333333334,1.0,0.9021739130434783,0.9130434782608695,2.0,24,460,92
disjoint_hybrid_v8,10,46,normal_staggered,0.9914159829399398,0.9653431338845859,77,0.05874809198548413,308,3,7,17,152,0.9903536977491961,0.6695652173913044,0.7989623865110247,0.8878623188405798,0.9909889824174185,0.2916666666666667,0.15,0.3333333333333333,1.0,0.9021739130434783,0.9347826086956522,1.0,24,460,92
temporal_mlp_only_v8,10,46,normal_nat_burst,0.9914159829399398,0.9653431338845859,77,0.05874809198548413,297,0,0,24,163,1.0,0.6456521739130435,0.7846763540290621,0.9732789855072465,0.9984689168274585,0.0,0.0,0.125,1.0,0.9021739130434783,0.9565217391304348,2.0,24,460,92
disjoint_hybrid_v8,10,46,normal_nat_burst,0.9914159829399398,0.9653431338845859,77,0.05874809198548413,332,0,4,20,128,1.0,0.7217391304347827,0.8383838383838385,0.9732789855072465,0.9984689168274585,0.16666666666666666,0.0,0.25,1.0,0.9130434782608695,0.967391304347826,2.0,24,460,92
temporal_mlp_only_v8,50,42,normal_staggered,0.9979619105149167,0.9235688596401813,69,0.04476260857875501,207,0,0,120,253,1.0,0.45,0.6206896551724138,0.996286231884058,0.9988846981284721,0.0,0.0,0.025,0.9891304347826086,0.7391304347826086,0.9239130434782609,4.0,120,460,92
disjoint_hybrid_v8,50,42,normal_staggered,0.9979619105149167,0.9235688596401813,69,0.04476260857875501,252,0,20,100,208,1.0,0.5478260869565217,0.7078651685393258,0.996286231884058,0.9988846981284721,0.16666666666666666,0.0,0.21666666666666667,0.9891304347826086,0.7717391304347826,0.9565217391304348,3.0,120,460,92
temporal_mlp_only_v8,50,42,normal_nat_burst,0.9979619105149167,0.9235688596401813,69,0.04476260857875501,197,0,0,120,263,1.0,0.4282608695652174,0.5996955859969558,0.9984963768115942,0.999590545731921,0.0,0.0,0.016666666666666666,0.9130434782608695,0.7391304347826086,0.8260869565217391,4.0,120,460,92
disjoint_hybrid_v8,50,42,normal_nat_burst,0.9979619105149167,0.9235688596401813,69,0.04476260857875501,247,0,20,100,213,1.0,0.5369565217391304,0.6987270155586986,0.9984963768115942,0.999590545731921,0.16666666666666666,0.0,0.18333333333333332,0.9456521739130435,0.7934782608695652,0.8804347826086957,3.0,120,460,92
temporal_mlp_only_v8,50,43,normal_staggered,0.9690598171100457,0.8504676843658376,85,0.036206760164385274,387,1,1,119,73,0.9974226804123711,0.841304347826087,0.9127358490566038,0.9946557971014494,0.9979222695068553,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.0,1.0,0.8913043478260869,1.0,120,460,92
disjoint_hybrid_v8,50,43,normal_staggered,0.9690598171100457,0.8504676843658376,85,0.036206760164385274,399,1,21,99,61,0.9975,0.8673913043478261,0.9279069767441861,0.9946557971014494,0.9979222695068553,0.175,0.01,0.18333333333333332,1.0,1.0,0.8913043478260869,1.0,120,460,92
