stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,500,46,normal_staggered,0.9875272552534361,0.8347599125100261,109,0.03223291047361491,397,6,6,1194,63,0.9851116625310173,0.8630434782608696,0.9200463499420627,0.9970815217391304,0.989969853222511,0.005,0.005,0.02,1.0,1.0,0.9891304347826086,1.0,1200,460,92
disjoint_hybrid_v8,500,46,normal_staggered,0.9875272552534361,0.8347599125100261,109,0.03223291047361491,402,5,205,995,58,0.9877149877149877,0.8739130434782608,0.9273356401384082,0.9970815217391304,0.989969853222511,0.17083333333333334,0.005,0.2,1.0,1.0,0.9891304347826086,1.0,1200,460,92
temporal_mlp_only_v8,500,46,normal_nat_burst,0.9875272552534361,0.8347599125100261,109,0.03223291047361491,365,8,8,1192,95,0.9785522788203753,0.7934782608695652,0.8763505402160865,0.9962572463768116,0.98804299839279,0.006666666666666667,0.006666666666666667,0.023333333333333334,1.0,0.967391304347826,0.9782608695652174,1.0,1200,460,92
disjoint_hybrid_v8,500,46,normal_nat_burst,0.9875272552534361,0.8347599125100261,109,0.03223291047361491,378,7,207,993,82,0.9818181818181818,0.8217391304347826,0.8946745562130178,0.9962572463768116,0.98804299839279,0.1725,0.007,0.19666666666666666,1.0,0.967391304347826,0.9782608695652174,1.0,1200,460,92
temporal_mlp_only_v8,1000,42,normal_staggered,0.9988585784928219,0.9748329925546924,76,0.05919181195806668,187,5,5,2395,273,0.9739583333333334,0.40652173913043477,0.5736196319018404,0.9960534420289856,0.9695956329892463,0.0020833333333333333,0.0020833333333333333,0.009166666666666667,0.8913043478260869,0.6630434782608695,0.8260869565217391,3.0,2400,460,92
disjoint_hybrid_v8,1000,42,normal_staggered,0.9988585784928219,0.9748329925546924,76,0.05919181195806668,231,4,404,1996,229,0.9829787234042553,0.5021739130434782,0.6647482014388489,0.9960534420289856,0.9695956329892463,0.16833333333333333,0.002,0.1875,0.9130434782608695,0.7391304347826086,0.8478260869565217,3.0,2400,460,92
temporal_mlp_only_v8,1000,42,normal_nat_burst,0.9988585784928219,0.9748329925546924,76,0.05919181195806668,195,4,4,2396,265,0.9798994974874372,0.42391304347826086,0.5918057663125948,0.9967952898550725,0.977844958895519,0.0016666666666666668,0.0016666666666666668,0.008333333333333333,0.8478260869565217,0.7065217391304348,0.7391304347826086,3.0,2400,460,92
disjoint_hybrid_v8,1000,42,normal_nat_burst,0.9988585784928219,0.9748329925546924,76,0.05919181195806668,239,2,402,1998,221,0.991701244813278,0.5195652173913043,0.68188302425107,0.9967952898550725,0.977844958895519,0.1675,0.001,0.17625,0.8913043478260869,0.75,0.7934782608695652,3.0,2400,460,92
temporal_mlp_only_v8,1000,43,normal_staggered,0.9966106765003789,0.9556974697154469,61,0.057032776007129415,218,4,4,2396,242,0.9819819819819819,0.47391304347826085,0.6392961876832844,0.9971793478260869,0.9814759498803387,0.0016666666666666668,0.0016666666666666668,0.007083333333333333,0.9021739130434783,0.7282608695652174,0.8369565217391305,3.0,2400,460,92
disjoint_hybrid_v8,1000,43,normal_staggered,0.9966106765003789,0.9556974697154469,61,0.057032776007129415,254,2,402,1998,206,0.9921875,0.5521739130434783,0.7094972067039106,0.9971793478260869,0.9814759498803387,0.1675,0.001,0.18458333333333332,0.9239130434782609,0.75,0.8695652173913043,3.0,2400,460,92
temporal_mlp_only_v8,1000,43,normal_nat_burst,0.9966106765003789,0.9556974697154469,61,0.057032776007129415,190,6,6,2394,270,0.9693877551020408,0.41304347826086957,0.5792682926829268,0.9966811594202898,0.9739238993940897,0.0025,0.0025,0.005833333333333334,0.8913043478260869,0.6630434782608695,0.8695652173913043,4.0,2400,460,92
disjoint_hybrid_v8,1000,43,normal_nat_burst,0.9966106765003789,0.9556974697154469,61,0.057032776007129415,241,2,402,1998,219,0.9917695473251029,0.5239130434782608,0.6856330014224751,0.9966811594202898,0.9739238993940897,0.1675,0.001,0.17666666666666667,0.9347826086956522,0.75,0.9130434782608695,3.0,2400,460,92
temporal_mlp_only_v8,1000,44,normal_staggered,0.9979932635303999,0.9673241187916443,109,0.04953430732125893,269,9,9,2391,191,0.9676258992805755,0.5847826086956521,0.7289972899728997,0.9955217391304347,0.9655981538160202,0.00375,0.00375,0.013333333333333334,0.9891304347826086,0.8804347826086957,0.9021739130434783,2.0,2400,460,92
disjoint_hybrid_v8,1000,44,normal_staggered,0.9979932635303999,0.9673241187916443,109,0.04953430732125893,294,5,405,1995,166,0.9832775919732442,0.6391304347826087,0.774703557312253,0.9955217391304347,0.9655981538160202,0.16875,0.0025,0.18958333333333333,0.9891304347826086,0.9021739130434783,0.9021739130434783,2.0,2400,460,92
temporal_mlp_only_v8,1000,44,normal_nat_burst,0.9979932635303999,0.9673241187916443,109,0.04953430732125893,251,5,5,2395,209,0.98046875,0.5456521739130434,0.7011173184357541,0.9969628623188406,0.9768354976309923,0.0020833333333333333,0.0020833333333333333,0.01375,0.9347826086956522,0.8478260869565217,0.7608695652173914,2.0,2400,460,92
disjoint_hybrid_v8,1000,44,normal_nat_burst,0.9979932635303999,0.9673241187916443,109,0.04953430732125893,284,4,404,1996,176,0.9861111111111112,0.6173913043478261,0.7593582887700534,0.9969628623188406,0.9768354976309923,0.16833333333333333,0.002,0.18666666666666668,0.9347826086956522,0.8695652173913043,0.7934782608695652,1.0,2400,460,92
temporal_mlp_only_v8,1000,45,normal_staggered,0.9938875394896037,0.9307012755167513,64,0.046114205241044835,263,2,2,2398,197,0.9924528301886792,0.5717391304347826,0.7255172413793104,0.9986367753623189,0.9915336315510683,0.0008333333333333334,0.0008333333333333334,0.00875,0.9782608695652174,0.8478260869565217,0.9130434782608695,2.0,2400,460,92
disjoint_hybrid_v8,1000,45,normal_staggered,0.9938875394896037,0.9307012755167513,64,0.046114205241044835,285,2,402,1998,175,0.9930313588850174,0.6195652173913043,0.7630522088353413,0.9986367753623189,0.9915336315510683,0.1675,0.001,0.18625,0.9782608695652174,0.8804347826086957,0.9130434782608695,2.0,2400,460,92
temporal_mlp_only_v8,1000,45,normal_nat_burst,0.9938875394896037,0.9307012755167513,64,0.046114205241044835,284,4,4,2396,176,0.9861111111111112,0.6173913043478261,0.7593582887700534,0.9975806159420291,0.9801813537513774,0.0016666666666666668,0.0016666666666666668,0.007916666666666667,0.9565217391304348,0.8586956521739131,0.8913043478260869,1.5,2400,460,92
disjoint_hybrid_v8,1000,45,normal_nat_burst,0.9938875394896037,0.9307012755167513,64,0.046114205241044835,315,4,404,1996,145,0.987460815047022,0.6847826086956522,0.8087291399229782,0.9975806159420291,0.9801813537513774,0.16833333333333333,0.002,0.17833333333333334,0.9565217391304348,0.8586956521739131,0.9021739130434783,1.0,2400,460,92
temporal_mlp_only_v8,1000,46,normal_staggered,0.9973521678974804,0.9315930056315972,87,0.053556538351393804,261,3,3,2397,199,0.9886363636363636,0.5673913043478261,0.7209944751381216,0.997802536231884,0.9868247128646477,0.00125,0.00125,0.011666666666666667,0.967391304347826,0.8586956521739131,0.8804347826086957,2.0,2400,460,92
disjoint_hybrid_v8,1000,46,normal_staggered,0.9973521678974804,0.9315930056315972,87,0.053556538351393804,292,3,403,1997,168,0.9898305084745763,0.6347826086956522,0.7735099337748345,0.997802536231884,0.9868247128646477,0.16791666666666666,0.0015,0.18916666666666668,0.967391304347826,0.8804347826086957,0.8913043478260869,2.0,2400,460,92
temporal_mlp_only_v8,1000,46,normal_nat_burst,0.9973521678974804,0.9315930056315972,87,0.053556538351393804,244,6,6,2394,216,0.976,0.5304347826086957,0.6873239436619718,0.9967690217391304,0.978071424311221,0.0025,0.0025,0.012083333333333333,0.9130434782608695,0.7934782608695652,0.8586956521739131,2.0,2400,460,92
disjoint_hybrid_v8,1000,46,normal_nat_burst,0.9973521678974804,0.9315930056315972,87,0.053556538351393804,271,5,405,1995,189,0.9818840579710145,0.5891304347826087,0.736413043478261,0.9967690217391304,0.978071424311221,0.16875,0.0025,0.18333333333333332,0.9347826086956522,0.8260869565217391,0.8804347826086957,2.0,2400,460,92
temporal_mlp_only_v8,5000,42,normal_staggered,0.9961806409312531,0.8083020234626536,120,0.029287211230340143,333,21,21,11979,127,0.940677966101695,0.7239130434782609,0.8181818181818182,0.998475,0.9569056355869867,0.00175,0.00175,0.010083333333333333,1.0,0.9782608695652174,0.9021739130434783,1.0,12000,460,92
disjoint_hybrid_v8,5000,42,normal_staggered,0.9961806409312531,0.8083020234626536,120,0.029287211230340143,364,18,2018,9982,96,0.9528795811518325,0.7913043478260869,0.8646080760095012,0.998475,0.9569056355869867,0.16816666666666666,0.0018,0.18875,1.0,0.9891304347826086,0.9021739130434783,1.0,12000,460,92
temporal_mlp_only_v8,5000,42,normal_nat_burst,0.9961806409312531,0.8083020234626536,120,0.029287211230340143,322,23,23,11977,138,0.9333333333333333,0.7,0.8,0.9980601449275363,0.9279108065730698,0.0019166666666666666,0.0019166666666666666,0.011166666666666667,0.9782608695652174,0.9130434782608695,0.9130434782608695,1.0,12000,460,92
disjoint_hybrid_v8,5000,42,normal_nat_burst,0.9961806409312531,0.8083020234626536,120,0.029287211230340143,353,21,2021,9979,107,0.9438502673796791,0.7673913043478261,0.8465227817745803,0.9980601449275363,0.9279108065730698,0.16841666666666666,0.0021,0.181,0.9782608695652174,0.9347826086956522,0.9130434782608695,1.0,12000,460,92
temporal_mlp_only_v8,5000,43,normal_staggered,0.9915114800020062,0.8549898912911533,78,0.0384156339722383,321,22,22,11978,139,0.9358600583090378,0.6978260869565217,0.7995018679950187,0.9982711956521739,0.9482868860924691,0.0018333333333333333,0.0018333333333333333,0.009666666666666667,1.0,0.9782608695652174,0.9782608695652174,2.0,12000,460,92
disjoint_hybrid_v8,5000,43,normal_staggered,0.9915114800020062,0.8549898912911533,78,0.0384156339722383,349,16,2016,9984,111,0.9561643835616438,0.758695652173913,0.846060606060606,0.9982711956521739,0.9482868860924691,0.168,0.0016,0.18716666666666668,1.0,0.9782608695652174,0.9782608695652174,1.0,12000,460,92
temporal_mlp_only_v8,5000,43,normal_nat_burst,0.9915114800020062,0.8549898912911533,78,0.0384156339722383,326,29,29,11971,134,0.9183098591549296,0.7086956521739131,0.7999999999999999,0.9982521739130436,0.9442269315817577,0.002416666666666667,0.002416666666666667,0.01,0.9891304347826086,0.9130434782608695,0.9565217391304348,1.0,12000,460,92
disjoint_hybrid_v8,5000,43,normal_nat_burst,0.9915114800020062,0.8549898912911533,78,0.0384156339722383,342,23,2023,9977,118,0.936986301369863,0.7434782608695653,0.8290909090909092,0.9982521739130436,0.9442269315817577,0.16858333333333334,0.0023,0.18033333333333335,0.9891304347826086,0.9130434782608695,0.9565217391304348,1.0,12000,460,92
temporal_mlp_only_v8,5000,44,normal_staggered,0.9957847749675784,0.8953968924606024,87,0.03872771941930234,313,25,25,11975,147,0.9260355029585798,0.6804347826086956,0.7844611528822054,0.9981092391304348,0.9429447312923496,0.0020833333333333333,0.0020833333333333333,0.010333333333333333,0.9891304347826086,0.9347826086956522,0.9565217391304348,2.0,12000,460,92
disjoint_hybrid_v8,5000,44,normal_staggered,0.9957847749675784,0.8953968924606024,87,0.03872771941930234,333,23,2023,9977,127,0.9353932584269663,0.7239130434782609,0.8161764705882353,0.9981092391304348,0.9429447312923496,0.16858333333333334,0.0023,0.18908333333333333,0.9891304347826086,0.9347826086956522,0.9565217391304348,2.0,12000,460,92
temporal_mlp_only_v8,5000,44,normal_nat_burst,0.9957847749675784,0.8953968924606024,87,0.03872771941930234,310,30,30,11970,150,0.9117647058823529,0.6739130434782609,0.775,0.9976697463768116,0.9253616481506315,0.0025,0.0025,0.011666666666666667,0.967391304347826,0.9456521739130435,0.8913043478260869,2.0,12000,460,92
disjoint_hybrid_v8,5000,44,normal_nat_burst,0.9957847749675784,0.8953968924606024,87,0.03872771941930234,352,27,2027,9973,108,0.9287598944591029,0.7652173913043478,0.8390941597139452,0.9976697463768116,0.9253616481506315,0.16891666666666666,0.0027,0.18133333333333335,0.9891304347826086,0.967391304347826,0.9456521739130435,2.0,12000,460,92
temporal_mlp_only_v8,5000,45,normal_staggered,0.9934979864988958,0.7798600953417554,120,0.02923848907684296,398,29,29,11971,62,0.9320843091334895,0.8652173913043478,0.8974069898534385,0.9988572463768116,0.9634101144751572,0.002416666666666667,0.002416666666666667,0.010083333333333333,1.0,1.0,0.967391304347826,1.0,12000,460,92
disjoint_hybrid_v8,5000,45,normal_staggered,0.9934979864988958,0.7798600953417554,120,0.02923848907684296,413,29,2029,9971,47,0.9343891402714932,0.8978260869565218,0.9157427937915743,0.9988572463768116,0.9634101144751572,0.16908333333333334,0.0029,0.19083333333333333,1.0,1.0,0.9891304347826086,1.0,12000,460,92
temporal_mlp_only_v8,5000,45,normal_nat_burst,0.9934979864988958,0.7798600953417554,120,0.02923848907684296,367,40,40,11960,93,0.9017199017199017,0.7978260869565217,0.8465974625144175,0.9977824275362319,0.9303722018387358,0.0033333333333333335,0.0033333333333333335,0.013166666666666667,1.0,0.9891304347826086,0.9347826086956522,1.0,12000,460,92
disjoint_hybrid_v8,5000,45,normal_nat_burst,0.9934979864988958,0.7798600953417554,120,0.02923848907684296,386,36,2036,9964,74,0.9146919431279621,0.8391304347826087,0.8752834467120182,0.9977824275362319,0.9303722018387358,0.16966666666666666,0.0036,0.18341666666666667,1.0,0.9891304347826086,0.967391304347826,1.0,12000,460,92
temporal_mlp_only_v8,5000,46,normal_staggered,0.9925941078471927,0.8872449586756738,93,0.030653117910351708,337,29,29,11971,123,0.9207650273224044,0.7326086956521739,0.8159806295399515,0.9981353260869565,0.9397245672386181,0.002416666666666667,0.002416666666666667,0.010916666666666667,0.9782608695652174,0.9456521739130435,0.9565217391304348,1.0,12000,460,92
disjoint_hybrid_v8,5000,46,normal_staggered,0.9925941078471927,0.8872449586756738,93,0.030653117910351708,363,20,2020,9980,97,0.9477806788511749,0.7891304347826087,0.8612099644128113,0.9981353260869565,0.9397245672386181,0.16833333333333333,0.002,0.19041666666666668,1.0,0.967391304347826,0.9891304347826086,1.0,12000,460,92
temporal_mlp_only_v8,5000,46,normal_nat_burst,0.9925941078471927,0.8872449586756738,93,0.030653117910351708,359,28,28,11972,101,0.9276485788113695,0.7804347826086957,0.847697756788666,0.9986204710144927,0.9605962811802315,0.0023333333333333335,0.0023333333333333335,0.008583333333333333,1.0,0.967391304347826,0.9891304347826086,1.0,12000,460,92
disjoint_hybrid_v8,5000,46,normal_nat_burst,0.9925941078471927,0.8872449586756738,93,0.030653117910351708,378,24,2024,9976,82,0.9402985074626866,0.8217391304347826,0.877030162412993,0.9986204710144927,0.9605962811802315,0.16866666666666666,0.0024,0.17866666666666667,1.0,0.967391304347826,1.0,1.0,12000,460,92
