stage,normal_scenario,attack_type,dataset_size,seed,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,normal_staggered,stealth_mimicry_ato,1110.0,44.0,49.9,0.0,0.0,0.0,10.1,1.0,0.8316666666666667,0.9031198580849545,0.0,0.0,0.9972222222222222,0.975,0.9583333333333334,1.3,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,cookie_hijack_blend,1110.0,44.0,40.2,0.0,0.0,0.0,19.8,1.0,0.6699999999999999,0.7797301280691031,0.0,0.0,0.9416666666666667,0.8722222222222222,0.85,1.6833333333333333,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,distributed_lateral_drift,1110.0,44.0,31.866666666666667,0.0,0.0,0.0,8.133333333333333,1.0,0.7966666666666666,0.8726792344947876,0.0,0.0,0.9625,0.9458333333333333,0.8958333333333334,1.5666666666666667,40.0,8.0
temporal_mlp_only_v8,normal_nat_burst,distributed_password_spray,1110.0,44.0,35.63333333333333,0.0,0.0,0.0,24.366666666666667,1.0,0.5938888888888889,0.7261928402635933,0.0,0.0,0.9555555555555556,0.8333333333333334,0.913888888888889,2.4166666666666665,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,gradual_exfiltration,1110.0,44.0,45.56666666666667,0.0,0.0,0.0,14.433333333333334,1.0,0.7594444444444445,0.8528868633121844,0.0,0.0,0.9916666666666667,0.9527777777777777,0.9638888888888889,1.7333333333333334,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,profile_poisoning_chain,1110.0,44.0,51.0,0.0,0.0,0.0,9.0,1.0,0.85,0.9117520375673912,0.0,0.0,1.0,0.9944444444444444,0.9833333333333333,1.4666666666666666,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,session_replay_jitter,1110.0,44.0,37.56666666666667,0.0,0.0,0.0,22.433333333333334,1.0,0.6261111111111112,0.7602312704004146,0.0,0.0,0.9583333333333334,0.9055555555555556,0.8583333333333333,1.75,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,slow_credential_probe,1110.0,44.0,35.2,0.0,0.0,0.0,24.8,1.0,0.5866666666666667,0.7204817827032612,0.0,0.0,0.9583333333333334,0.8333333333333334,0.9055555555555556,2.316666666666667,60.0,12.0
temporal_mlp_only_v8,normal_nat_burst,stealth_mimicry_ato,1110.0,44.0,47.4,0.0,0.0,0.0,12.6,1.0,0.7899999999999999,0.8729390699421298,0.0,0.0,0.9888888888888889,0.95,0.9444444444444444,1.55,60.0,12.0
temporal_mlp_only_v8,normal_staggered,cookie_hijack_blend,1110.0,44.0,40.733333333333334,0.0,0.0,0.0,19.266666666666666,1.0,0.6788888888888889,0.7907687261439228,0.0,0.0,0.9555555555555556,0.9,0.85,1.5833333333333333,60.0,12.0
temporal_mlp_only_v8,normal_staggered,distributed_lateral_drift,1110.0,44.0,31.866666666666667,0.0,0.0,0.0,8.133333333333333,1.0,0.7966666666666666,0.8763808077139197,0.0,0.0,0.9916666666666667,0.9541666666666667,0.9041666666666667,1.4666666666666666,40.0,8.0
temporal_mlp_only_v8,normal_staggered,distributed_password_spray,1110.0,44.0,33.96666666666667,0.0,0.0,0.0,26.033333333333335,1.0,0.5661111111111111,0.6977354264559776,0.0,0.0,0.9666666666666667,0.8083333333333333,0.913888888888889,2.5833333333333335,60.0,12.0
temporal_mlp_only_v8,normal_staggered,gradual_exfiltration,1110.0,44.0,46.63333333333333,0.0,0.0,0.0,13.366666666666667,1.0,0.7772222222222223,0.8663553697318661,0.0,0.0,1.0,0.9694444444444444,0.9722222222222222,1.7166666666666666,60.0,12.0
temporal_mlp_only_v8,normal_staggered,profile_poisoning_chain,1110.0,44.0,50.9,0.0,0.0,0.0,9.1,1.0,0.8483333333333333,0.9106462216352079,0.0,0.0,0.9944444444444444,0.9777777777777777,0.975,1.3833333333333333,60.0,12.0
temporal_mlp_only_v8,normal_staggered,session_replay_jitter,1110.0,44.0,38.833333333333336,0.0,0.0,0.0,21.166666666666668,1.0,0.6472222222222223,0.7769645515064825,0.0,0.0,0.986111111111111,0.9277777777777777,0.9027777777777778,1.75,60.0,12.0
temporal_mlp_only_v8,normal_staggered,slow_credential_probe,1110.0,44.0,33.03333333333333,0.0,0.0,0.0,26.966666666666665,1.0,0.5505555555555556,0.6862939527878965,0.0,0.0,0.9666666666666667,0.8,0.8972222222222223,2.65,60.0,12.0
temporal_mlp_only_v8,normal_staggered,stealth_mimicry_ato,1110.0,44.0,47.63333333333333,0.0,0.0,0.0,12.366666666666667,1.0,0.7938888888888889,0.8772271993544806,0.0,0.0,0.9972222222222222,0.9722222222222222,0.95,1.4833333333333334,60.0,12.0
