stage,normal_scenario,attack_type,phase_index,dataset_size,seed,challenge_recall,mean_score,mean_mimicry_distance
hardened_v3_event,normal_staggered,stealth_mimicry_ato,2,1110.0,44.0,0.0,0.17105555555555557,0.27715812639113896
hardened_v3_event,normal_staggered,stealth_mimicry_ato,3,1110.0,44.0,0.0,0.24833333333333335,0.3131102735247196
hardened_v3_event,normal_staggered,stealth_mimicry_ato,4,1110.0,44.0,0.0,0.211,0.3478023964668671
sequence_v4,normal_nat_burst,distributed_lateral_drift,1,1110.0,44.0,0.0,0.28439333333333333,0.25867317764096887
sequence_v4,normal_nat_burst,distributed_lateral_drift,2,1110.0,44.0,0.0,0.3527031686595984,0.2668554866957514
sequence_v4,normal_nat_burst,distributed_lateral_drift,3,1110.0,44.0,0.0,0.3910349807492437,0.27451789577164576
sequence_v4,normal_nat_burst,distributed_lateral_drift,4,1110.0,44.0,0.0,0.43180745251772457,0.2695761460081635
sequence_v4,normal_nat_burst,gradual_exfiltration,1,1110.0,44.0,0.0,0.2596255555555556,0.26711811743871106
sequence_v4,normal_nat_burst,gradual_exfiltration,2,1110.0,44.0,0.0,0.2630257618170529,0.26113208710810365
sequence_v4,normal_nat_burst,gradual_exfiltration,3,1110.0,44.0,0.0,0.3486934094303927,0.30540598481911624
sequence_v4,normal_nat_burst,gradual_exfiltration,4,1110.0,44.0,0.02222222222222222,0.48290434778670016,0.30377581180145174
sequence_v4,normal_nat_burst,profile_poisoning_chain,1,1110.0,44.0,0.0,0.3128900555555555,0.2830669171332207
sequence_v4,normal_nat_burst,profile_poisoning_chain,2,1110.0,44.0,0.027777777777777776,0.49377834073129695,0.31119050678532767
sequence_v4,normal_nat_burst,profile_poisoning_chain,3,1110.0,44.0,0.14444444444444443,0.5899941148099226,0.3496321632243419
sequence_v4,normal_nat_burst,profile_poisoning_chain,4,1110.0,44.0,0.36944444444444446,0.7408636574248462,0.3928572835646415
sequence_v4,normal_nat_burst,session_replay_chain,1,1110.0,44.0,0.0,0.2781369097222222,0.2780541596991319
sequence_v4,normal_nat_burst,session_replay_chain,2,1110.0,44.0,0.008333333333333333,0.47260536937803804,0.3149495669244063
sequence_v4,normal_nat_burst,session_replay_chain,3,1110.0,44.0,0.3861111111111111,0.7281527691023214,0.35679584136149795
sequence_v4,normal_nat_burst,session_replay_chain,4,1110.0,44.0,0.8666666666666667,0.9354357274124213,0.40417332897112884
sequence_v4,normal_nat_burst,slow_credential_probe,1,1110.0,44.0,0.0,0.38575420138888894,0.2823693154749482
sequence_v4,normal_nat_burst,slow_credential_probe,2,1110.0,44.0,0.0,0.4387279247664384,0.26155767883789954
sequence_v4,normal_nat_burst,slow_credential_probe,3,1110.0,44.0,0.0,0.5255782947872822,0.32171981552321244
sequence_v4,normal_nat_burst,slow_credential_probe,4,1110.0,44.0,0.016666666666666666,0.5317098209786758,0.39140843530083974
sequence_v4,normal_nat_burst,stealth_mimicry_ato,1,1110.0,44.0,0.0,0.2603988888888889,0.2620948587591888
sequence_v4,normal_nat_burst,stealth_mimicry_ato,2,1110.0,44.0,0.0,0.26147770677467125,0.2580380173987871
sequence_v4,normal_nat_burst,stealth_mimicry_ato,3,1110.0,44.0,0.0,0.36228398539553125,0.313709410420849
sequence_v4,normal_nat_burst,stealth_mimicry_ato,4,1110.0,44.0,0.0,0.44440178052268337,0.32919633204729154
sequence_v4,normal_staggered,distributed_lateral_drift,1,1110.0,44.0,0.0,0.2881066666666667,0.269623268875553
sequence_v4,normal_staggered,distributed_lateral_drift,2,1110.0,44.0,0.0,0.35086958535328294,0.2746197255913173
sequence_v4,normal_staggered,distributed_lateral_drift,3,1110.0,44.0,0.0,0.38452302146301937,0.2724549909687689
sequence_v4,normal_staggered,distributed_lateral_drift,4,1110.0,44.0,0.0,0.42607910759599404,0.27255422845248867
sequence_v4,normal_staggered,gradual_exfiltration,1,1110.0,44.0,0.0,0.25436111111111115,0.2664333434136861
sequence_v4,normal_staggered,gradual_exfiltration,2,1110.0,44.0,0.0,0.2606068721118073,0.2799770424666139
sequence_v4,normal_staggered,gradual_exfiltration,3,1110.0,44.0,0.0,0.33957687901854866,0.30478106139162525
sequence_v4,normal_staggered,gradual_exfiltration,4,1110.0,44.0,0.03333333333333333,0.4918652056697754,0.3225934830040737
