stage,dataset_size,seed,normal_scenario,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,challenge_fpr,warn_fpr,mean_attack_mimicry_distance,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
sequence_v4,100,43,normal_nat_burst,0.0625,0.19117647058823528,0.07352941176470588,0.17647058823529413,5.0,0.03333333333333333,0.05416666666666667,0.3086304366819477,1.0,240,272,68
hardened_v3_event,100,44,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.30974612770338866,1.0,240,272,68
sequence_v4,100,44,normal_staggered,0.05514705882352941,0.19117647058823528,0.029411764705882353,0.19117647058823528,5.0,0.016666666666666666,0.016666666666666666,0.30974612770338866,1.0,240,272,68
hardened_v3_event,100,44,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.30949168008489036,1.0,240,272,68
sequence_v4,100,44,normal_nat_burst,0.04779411764705882,0.14705882352941177,0.04411764705882353,0.14705882352941177,5.0,0.0625,0.0625,0.30949168008489036,1.0,240,272,68
hardened_v3_event,100,45,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3156748068380265,1.0,240,272,68
sequence_v4,100,45,normal_staggered,0.0625,0.17647058823529413,0.07352941176470588,0.17647058823529413,5.0,0.016666666666666666,0.016666666666666666,0.3156748068380265,1.0,240,272,68
hardened_v3_event,100,45,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.004166666666666667,0.004166666666666667,0.31684003839377767,1.0,240,272,68
sequence_v4,100,45,normal_nat_burst,0.0661764705882353,0.20588235294117646,0.08823529411764706,0.17647058823529413,5.0,0.06666666666666667,0.06666666666666667,0.31684003839377767,1.0,240,272,68
hardened_v3_event,100,46,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.004166666666666667,0.3196494434131571,1.0,240,272,68
sequence_v4,100,46,normal_staggered,0.06985294117647059,0.22058823529411764,0.058823529411764705,0.22058823529411764,5.0,0.025,0.029166666666666667,0.3196494434131571,1.0,240,272,68
hardened_v3_event,100,46,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.004166666666666667,0.004166666666666667,0.32064227882947405,1.0,240,272,68
sequence_v4,100,46,normal_nat_burst,0.07720588235294118,0.22058823529411764,0.08823529411764706,0.22058823529411764,5.0,0.058333333333333334,0.058333333333333334,0.32064227882947405,1.0,240,272,68
hardened_v3_event,500,42,normal_staggered,0.007352941176470588,0.029411764705882353,0.014705882352941176,0.014705882352941176,5.0,0.0016666666666666668,0.0016666666666666668,0.31401298126166965,1.0,1200,272,68
sequence_v4,500,42,normal_staggered,0.051470588235294115,0.1323529411764706,0.07352941176470588,0.1323529411764706,5.0,0.049166666666666664,0.049166666666666664,0.31401298126166965,1.0,1200,272,68
hardened_v3_event,500,42,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0025,0.0025,0.30095870714631673,1.0,1200,272,68
sequence_v4,500,42,normal_nat_burst,0.08455882352941177,0.23529411764705882,0.08823529411764706,0.23529411764705882,5.0,0.11166666666666666,0.11166666666666666,0.30095870714631673,1.0,1200,272,68
hardened_v3_event,500,43,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0033333333333333335,0.0033333333333333335,0.3059754060511704,1.0,1200,272,68
sequence_v4,500,43,normal_staggered,0.058823529411764705,0.22058823529411764,0.014705882352941176,0.22058823529411764,5.0,0.07666666666666666,0.07666666666666666,0.3059754060511704,1.0,1200,272,68
hardened_v3_event,500,43,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0025,0.0025,0.3056681460033529,1.0,1200,272,68
sequence_v4,500,43,normal_nat_burst,0.08088235294117647,0.25,0.07352941176470588,0.25,5.0,0.12083333333333333,0.12083333333333333,0.3056681460033529,1.0,1200,272,68
hardened_v3_event,500,44,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0016666666666666668,0.0016666666666666668,0.3121227981186501,1.0,1200,272,68
sequence_v4,500,44,normal_staggered,0.07352941176470588,0.20588235294117646,0.08823529411764706,0.20588235294117646,5.0,0.059166666666666666,0.059166666666666666,0.3121227981186501,1.0,1200,272,68
hardened_v3_event,500,44,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0008333333333333334,0.0008333333333333334,0.2921781707172584,1.0,1200,272,68
sequence_v4,500,44,normal_nat_burst,0.06985294117647059,0.20588235294117646,0.07352941176470588,0.20588235294117646,5.0,0.10583333333333333,0.10583333333333333,0.2921781707172584,1.0,1200,272,68
hardened_v3_event,500,45,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0008333333333333334,0.0008333333333333334,0.30983783650144686,1.0,1200,272,68
sequence_v4,500,45,normal_staggered,0.04779411764705882,0.14705882352941177,0.04411764705882353,0.14705882352941177,5.0,0.055,0.055,0.30983783650144686,1.0,1200,272,68
hardened_v3_event,500,45,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0025,0.0025,0.3059549853467477,1.0,1200,272,68
sequence_v4,500,45,normal_nat_burst,0.09558823529411764,0.27941176470588236,0.08823529411764706,0.27941176470588236,5.0,0.12666666666666668,0.12666666666666668,0.3059549853467477,1.0,1200,272,68
hardened_v3_event,500,46,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0016666666666666668,0.004166666666666667,0.3111195877211524,1.0,1200,272,68
sequence_v4,500,46,normal_staggered,0.03676470588235294,0.1323529411764706,0.014705882352941176,0.1323529411764706,5.0,0.06833333333333333,0.07,0.3111195877211524,1.0,1200,272,68
hardened_v3_event,500,46,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0008333333333333334,0.0008333333333333334,0.30211146146207085,1.0,1200,272,68
sequence_v4,500,46,normal_nat_burst,0.08088235294117647,0.22058823529411764,0.07352941176470588,0.22058823529411764,5.0,0.1025,0.1025,0.30211146146207085,1.0,1200,272,68
hardened_v3_event,1000,42,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0033333333333333335,0.00375,0.3079580562213966,1.0,2400,272,68
sequence_v4,1000,42,normal_staggered,0.0625,0.19117647058823528,0.058823529411764705,0.19117647058823528,5.0,0.06958333333333333,0.06958333333333333,0.3079580562213966,1.0,2400,272,68
hardened_v3_event,1000,42,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.00125,0.00125,0.30115353877075973,1.0,2400,272,68
sequence_v4,1000,42,normal_nat_burst,0.08088235294117647,0.25,0.08823529411764706,0.23529411764705882,5.0,0.12208333333333334,0.12208333333333334,0.30115353877075973,1.0,2400,272,68
hardened_v3_event,1000,43,normal_staggered,0.003676470588235294,0.014705882352941176,0.014705882352941176,0.0,5.0,0.0008333333333333334,0.0016666666666666668,0.315791621899001,1.0,2400,272,68
sequence_v4,1000,43,normal_staggered,0.08455882352941177,0.25,0.10294117647058823,0.23529411764705882,5.0,0.0875,0.08791666666666667,0.315791621899001,1.0,2400,272,68
hardened_v3_event,1000,43,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0025,0.0025,0.31210041421815854,1.0,2400,272,68
sequence_v4,1000,43,normal_nat_burst,0.09926470588235294,0.25,0.14705882352941177,0.25,5.0,0.12375,0.12375,0.31210041421815854,1.0,2400,272,68
hardened_v3_event,1000,44,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0020833333333333333,0.0020833333333333333,0.30703611778514356,1.0,2400,272,68
sequence_v4,1000,44,normal_staggered,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.17647058823529413,5.0,0.06541666666666666,0.06541666666666666,0.30703611778514356,1.0,2400,272,68
hardened_v3_event,1000,44,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0033333333333333335,0.0033333333333333335,0.3125974869425618,1.0,2400,272,68
sequence_v4,1000,44,normal_nat_burst,0.11029411764705882,0.2647058823529412,0.16176470588235295,0.2647058823529412,5.0,0.11416666666666667,0.11416666666666667,0.3125974869425618,1.0,2400,272,68
hardened_v3_event,1000,45,normal_staggered,0.003676470588235294,0.014705882352941176,0.0,0.014705882352941176,5.0,0.0004166666666666667,0.0004166666666666667,0.31516629181449435,1.0,2400,272,68
sequence_v4,1000,45,normal_staggered,0.07720588235294118,0.20588235294117646,0.10294117647058823,0.20588235294117646,5.0,0.06666666666666667,0.06666666666666667,0.31516629181449435,1.0,2400,272,68
hardened_v3_event,1000,45,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0016666666666666668,0.0016666666666666668,0.30062576546473946,1.0,2400,272,68
sequence_v4,1000,45,normal_nat_burst,0.08455882352941177,0.20588235294117646,0.10294117647058823,0.20588235294117646,5.0,0.10708333333333334,0.10708333333333334,0.30062576546473946,1.0,2400,272,68
hardened_v3_event,1000,46,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3133192083535836,1.0,2400,272,68
sequence_v4,1000,46,normal_staggered,0.08823529411764706,0.23529411764705882,0.11764705882352941,0.23529411764705882,5.0,0.07083333333333333,0.07083333333333333,0.3133192083535836,1.0,2400,272,68
hardened_v3_event,1000,46,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0025,0.0025,0.30134232108642256,1.0,2400,272,68
sequence_v4,1000,46,normal_nat_burst,0.09191176470588236,0.2647058823529412,0.10294117647058823,0.2647058823529412,5.0,0.125,0.125,0.30134232108642256,1.0,2400,272,68
hardened_v3_event,5000,42,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0015,0.0020833333333333333,0.2988802145164109,1.0,12000,272,68
